KM,Latitude,Longitude,RX_HorizontalWearConsumption,LX_HorizontalWearConsumption,RX_VerticalWear,LX_VerticalWear
335845,60.73536664468369,7.122518606043351,NV,0.96,NV,1.00
335850,60.73541143234104,7.122517614658341,NV,NV,NV,NV
335855,60.73545621999834,7.122516623265787,-0.44,NV,2.52,NV
335860,60.73550100765554,7.122515631865698,NV,0.03,NV,4.22
335865,60.73554574239843,7.122518984470722,NV,-0.12,NV,0.74
335870,60.73559044813745,7.122524602564864,-0.24,-0.88,0.17,-0.17
335875,60.7356351538765,7.122530220669975,0.19,0.15,-0.09,-0.23
335880,60.73567976498625,7.122538192054233,NV,NV,NV,NV
335885,60.73572432049325,7.1225475461993275,0.36,-0.24,0.37,0.60
335890,60.73576887600006,7.122556900365793,-0.24,0.31,-0.02,0.19
335895,60.735813431506664,7.122566254553634,0.06,0.26,-0.01,0.29
335900,60.735857987013055,7.122575608762848,-0.09,0.15,-0.20,0.11
335910,60.73594709802526,7.122594317245381,0.14,0.61,-0.40,0.82
335915,60.73599180027689,7.122599405260472,0.54,-0.15,1.18,0.44
335920,60.73603655626539,7.1226029845084815,0.11,NV,1.39,NV
335925,60.73608131291492,7.1226065293324865,NV,0.26,NV,0.59
335930,60.73612606956449,7.1226100741616545,-0.01,0.32,-0.57,0.44
335935,60.73617082621416,7.122613618995977,0.62,-0.07,-0.35,0.88
335940,60.73621552342969,7.122610508756754,0.36,-0.77,-0.36,0.49
335945,60.73626018701349,7.122603632682462,0.87,-0.41,-0.27,0.41
335950,60.73630485059657,7.122596756584265,0.56,-0.21,-0.26,0.42
335955,60.73634947033064,7.122588873577202,0.69,-0.82,-0.11,0.29
335960,60.73639395490407,7.122578418313826,0.42,-0.16,-0.06,0.29
335965,60.73643818476057,7.12256399215537,0.24,0.01,-0.12,0.16
335970,60.73648241461478,7.122549565952519,0.36,0.09,0.01,0.03
335975,60.73652664446668,7.122535139705275,0.39,0.28,0.06,0.18
335980,60.73657087431628,7.1225207134136355,0.49,0.23,-0.02,0.22
335985,60.736614774461806,7.1225026571809495,-0.01,0.17,-0.09,0.20
335990,60.7366585947283,7.122483721492135,0.02,0.25,-0.20,0.16
335995,60.7367024149911,7.122464785747121,0.32,0.05,-0.08,0.07
336000,60.73674623525028,7.122445849945907,0.85,0.07,-0.01,0.07
336005,60.7367900555058,7.122426914088495,0.59,-0.04,-0.12,0.12
336010,60.7368338757577,7.122407978174873,0.21,0.06,-0.11,0.12
336015,60.73687771856507,7.1223892669875095,0.48,-0.02,0.02,0.18
336020,60.73692166225881,7.12237156460165,0.68,0.05,-0.04,0.09
336025,60.736965643934425,7.122354286081961,0.49,-0.03,0.10,0.11
336030,60.73700981675437,7.122339148269353,0.59,-0.10,0.03,0.25
336035,60.737053989571834,7.122324010410461,0.70,0.06,0.07,0.17
336040,60.737098162386786,7.122308872505286,0.67,0.06,0.17,0.12
336045,60.73714238850943,7.1222945597397755,0.51,0.00,0.33,0.15
336050,60.737186971918206,7.122285777378055,0.91,0.11,0.11,0.35
336055,60.737231555325934,7.122276994987186,0.80,-0.06,-0.09,0.05
336060,60.73727613873263,7.122268212567176,0.79,-0.16,0.07,0.14
336065,60.737320722138286,7.122259430118029,0.66,0.07,-0.00,0.07
336070,60.7373653055429,7.122250647639731,0.75,-0.08,0.02,0.13
336075,60.73740988894648,7.122241865132292,0.75,0.16,-0.04,0.13
336080,60.73745449188301,7.122233632101554,0.74,-0.00,-0.04,0.19
336085,60.73749922881808,7.1222291685362835,0.99,-0.06,0.25,0.16
336090,60.737543965752714,7.122224704953806,0.79,-0.13,-0.02,0.34
336095,60.73758870268697,7.122220241354098,1.08,-0.00,0.03,0.10
336100,60.73763343962084,7.122215777737163,0.79,-0.18,0.02,0.03
336105,60.73767817655426,7.122211314103023,0.93,-0.08,0.01,-0.00
336110,60.73772291348735,7.12220685045165,0.92,-0.18,-0.11,0.05
336115,60.73776765986632,7.12220306376469,0.84,-0.30,-0.09,0.12
336120,60.73781244864871,7.1222023159771055,0.73,-0.24,-0.15,0.11
336125,60.73785723743104,7.122201568182662,0.90,-0.22,0.45,0.14
336130,60.73790202623143,7.122200824927543,0.73,NV,-0.04,NV
336135,60.737946815041866,7.122200084207641,0.72,-0.09,0.02,0.07
336140,60.73799159589854,7.12220122830246,1.19,-0.37,-0.01,0.09
336145,60.738036371803645,7.1222035458053154,0.81,0.15,0.18,0.09
336150,60.7380811161666,7.122207211830883,0.22,0.26,0.22,0.07
336155,60.73812579630568,7.122213623624724,0.37,0.12,0.31,-0.20
336160,60.738170476444765,7.122220035431743,0.45,0.43,0.46,-0.06
336165,60.73821503379167,7.122228812225553,-0.05,0.45,0.50,-0.19
336170,60.738259378507415,7.122241684304586,0.18,0.33,0.54,0.14
336175,60.73830372322259,7.122254556414705,-0.32,0.51,0.46,-0.04
336180,60.7383479098211,7.122269336145446,-0.27,0.38,0.38,-0.03
336185,60.73839185767932,7.122286996181359,0.10,0.42,0.54,-0.10
336190,60.73843549319468,7.12230761545208,-0.08,0.75,0.41,0.05
336195,60.73847909963517,7.122328510215794,-0.02,0.57,0.44,0.05
336200,60.73852234728863,7.12235213992973,0.12,0.61,0.50,0.15
336205,60.73856522623923,7.122378580179635,-0.12,0.58,0.66,0.17
336210,60.73860714266084,7.122410491167116,0.28,0.44,0.68,0.15
336215,60.73864845263009,7.122445849071461,0.78,0.87,0.66,0.19
336220,60.73868976259162,7.122481207063729,0.45,0.61,0.61,0.17
336225,60.73872962439473,7.122522777501878,0.08,0.65,0.61,0.10
336230,60.738769103348936,7.1225659903590355,0.42,0.80,0.72,0.32
336235,60.73880767948717,7.122612381765615,0.36,0.45,0.61,0.02
336240,60.738845640600786,7.122660938509786,-0.69,0.46,0.58,0.12
336245,60.73888339973534,7.122710090145123,0.34,0.34,0.51,0.04
336250,60.73891896622506,7.122765699134301,0.30,0.30,0.32,0.03
336255,60.738954532693874,7.122821308245809,0.33,0.30,0.23,-0.06
336260,60.73899009914177,7.122876917479661,0.51,0.40,0.24,-0.03
336265,60.739024774517105,7.122934682525552,0.68,0.23,0.12,-0.03
336270,60.73905757685953,7.122996978999286,0.50,0.25,0.28,-0.01
336275,60.739090379175224,7.123059275600356,0.43,-0.03,0.30,0.03
336280,60.73912140864447,7.12312520720275,0.04,0.19,0.17,0.05
336285,60.73915150828177,7.123192921398054,0.76,0.14,0.50,0.02
